arm,file,t_rel_s,mc_all,emc_hz
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,8.169,14398,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,8.429,13389,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,8.689,12475,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,8.949,11668,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,9.208,11074,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,9.468,10647,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,9.728,10394,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,9.987,10142,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,10.247,9952,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,10.506,9817,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,10.766,9677,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,11.026,9480,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,11.285,9817,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,11.544,9573,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,11.804,9218,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,12.063,9119,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,12.324,8849,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,12.583,8740,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,12.843,8631,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,13.102,8527,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,13.362,8510,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,13.621,8450,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,13.881,8350,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,14.14,8284,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,14.4,108306,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,14.66,543241,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,14.92,896858,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,15.181,1185504,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,15.442,1420944,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,15.702,1612223,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,15.963,1768593,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,16.223,1904558,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,16.484,2005693,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,16.745,2088137,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,17.005,2154629,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,17.265,2208385,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,17.526,2252012,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,17.787,2228081,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,18.047,1819869,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,18.307,1487176,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,18.566,1216077,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,18.826,995135,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,19.085,815021,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,19.345,668241,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,19.604,556902,204000000
